,overall_ranking,first_name,last_name,pos,team,body
11,11,Jackson,Jobe,RHP,DETROIT TIGERS,"Age: 22 Ht: 6-2 Wt: 190 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 19/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 29 Jobe is the best pitching prospect in the minors right now, although every candidate for that list has missed some time with injuries in the past two years, Jobe included, so buyer beware. Heʼs got a four-pitch mix highlighted by a high-spin four-seamer that sits 94-98 when heʼs starting and an elite changeup, one of the best in the minors, that has tremendous late tumble, and that he can throw to both sides of the plate and uses against left- and right-handed batters. Heʼs also got a sweeper-slider and a hard slider, both of which are more weapons against righties, although the sweeper is probably going to be the fourth pitch in his arsenal in the majors. He has cleaned up his delivery somewhat since 2023, so he should be better positioned to repeat it and throw both more strikes and better strikes going forward, as high walk rates have been one of the only negatives on his report to date — he walked 12.6 percent of batters he faced in Double A and Triple A last year, which is a giant gift to batters given how hard his stuff is to hit. Heʼs also had a lot of non-arm injuries, missing the ﬁrst half of 2023 with a lower back injury and two months of 2024 with a hamstring strain, so heʼs thrown just 252 2/3 total innings in three full pro seasons, including time in the AFL in 2023. That may point to a limited workload in 2025, especially since heʼs likely to spend most or all of it in the majors. Itʼs No. 1 starter upside if he can go from 45 control to 55, which he certainly should given his athleticism and where the delivery stands now. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 20/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:Getty Images MLB Teams • • • • • • DETROIT TIGERS RHP"
12,12,Andrew,Painter,RHP,PHILADELPHIA PHILLIES,"Age: 22 Ht: 6-7 Wt: 215 Bats: R Throws: R 2024 Ranking: 34 Painter was supposedly on the bubble to make the Phillies out of spring training in 2023, when he was still 19, but ended up with a UCL tear that required Tommy John surgery and wiped out that season and all of 2024 as well. He returned during the Arizona Fall League this offseason and threw 15 2/3 innings over six outings, still pumping 96-98 with good carry, showing a plus curveball and slider, with only the changeup lagging behind. Heʼs built like a workhorse starter at https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 21/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic 6-foot-7 and a listed weight of 215 thatʼs probably out of date by 10-plus pounds, although the MLB Teams • • • • • • elbow tear and two lost years at least push his timetable to take 30 turns in a big-league rotation back a bit. Heʼs probably going to demolish Triple-A hitters this year and end up in the majors in some kind of relief or swing role as the Phillies manage his innings and try to develop his changeup and his command, especially coming off a layoff where heʼs likely to still have some rust. The healthy version of Painter should be a 200-inning, No. 1 starter. Photo:Getty Images PHILADELPHIA PHILLIES RHP"
13,13,Aidan,Miller,SS,PHILADELPHIA PHILLIES,"Age: 21 Ht: 6-1 Wt: 205 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 22/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic 2024 Ranking: 89 MLB Teams • • • • • • Miller was the Philliesʼ 2023 ﬁrst-round pick, coming off a senior season at J.W. Mitchell High School north of Clearwater that ended for him in early March when he broke a hamate bone. Between the injury and the fact that he was 19 at the draft, he slid down some teamsʼ draft boards, which was the Philliesʼ windfall when they selected him with the 27th pick, as heʼs quickly become their best position-player prospect. Last season, he ripped through Low-A Clearwater with a .275/.401/.483 line in 39 games where he topped out at 108 mph, then started slow in High A before taking off in his last month and a half there, ending up with a .258/.353/.444 line before a ﬁnal-week promotion to Double A, all very impressive for a player in his ﬁrst full year in the minors. He has exclusively played shortstop since he signed, and contrary to predraft reports, heʼs played it really well, to the point where no one seems to question whether he can stay at the position. Heʼs got very good instincts and shows above-average range in both directions, with a plus arm, playing defense like he wants to make every play. I saw him right after the promotion to High A and noted an overly aggressive approach and tendency to get on top of the ball; within about two weeks, heʼd already adjusted and was seeing more pitches and driving the ball again. Heʼs even a plus runner now who stole 23 bases in 28 attempts last year, likely adding even more value to his game. Miller has played just 122 games in pro ball, and wonʼt turn 21 until June, so heʼs still got time on his side and I think more power to come. With Trea Turnerʼs defense slipping — his Runs Above Average on defense hasnʼt been positive since 2021 — Miller might be the Philliesʼ future at shortstop, and sooner than you think. Photo:Getty Images PHILADELPHIA PHILLIES SS"
14,14,Matt,Shaw,IF,CHICAGO CUBS,"Age: 23 Ht: 5-9 Wt: 185 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 23/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 26 Shaw might be the Cubsʼ starting third baseman this April, and heʼs earned the shot after reaching Triple A in his ﬁrst full pro season and hitting better as the season progressed. Shaw started 2024 in Double A, where he overcame some bad luck on balls in play to hit .279/.373/.468 with just a 17.5 percent strikeout rate, and then bumped up to Triple A and hit .298/.395/.534 with a 19.7 percent strikeout rate. He makes very consistent hard contact, averaging 89.3 mph in Triple A with a 90th percentile exit velocity of 106. He utilizes a very rotational and clean swing that tends to put the ball in the air. Heʼs a shortstop by trade but has played second and third as well in the minors, a reﬂection of the Cubsʼ needs, with second base probably his best position and his third- base defense playable if not quite average yet. Heʼs a 55 runner with excellent instincts and could probably handle center or left if needed. Shaw is one of the best bets to hit for a high average of any prospect in the minors, and should add another half-grade of power to get last yearʼs 21 homers up into the 25-30 homer range in his best years. Depending on his position and how much he can improve his defense, he could be a 5-WAR player at his peak. Photo:Imagn Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 24/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic CHICAGO CUBS IF MLB Teams • • • • • •"
15,15,Jeferson,Quero,C,MILWAUKEE BREWERS,"Age: 22 Ht: 5-11 Wt: 215 Bats: R Throws: R 2024 Ranking: 12 Quero was No. 12 on last winterʼs top 100, but had just one regular-season plate appearance in 2024 before he tore the labrum in his throwing shoulder, eventually undergoing surgery to repair it that ended his season. Heʼs supposedly on track to be ready for spring training, so in theory heʼs still just as good of a prospect as he was a year ago, with his throwing probably the biggest question, although the loss of a year of at-bats also hurts just about any prospect this side of Chipper Jones. It was particularly a shame for Quero after he worked to improve his conditioning the prior year so he could hold up under a full year of catching duties. As a hitter, he shows a short https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 25/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic swing with strong follow-through, hitting 16 homers in 90 games in 2023 and projecting to 20- MLB Teams • • • • • • plus homers in his peak years in the majors. He had shown a tendency to swing too hard, mitigating it so far because he has strong hands and wrists to control the bat through the zone. Heʼll have to shake off the rust from the layoff, and then can resume working on recognizing changeups from lefties and spin from righties, both of which were vulnerabilities for him in 2023. Assuming his arm is OK — it was probably a 70 on pure arm strength, so he has some wiggle room — and the surgery hasnʼt adversely affected his swing, he still projects as a star whoʼs a plus defender and a very strong hitter for the position. Photo:AP Images MILWAUKEE BREWERS C"
16,16,Dalton,Rushing,C,LOS ANGELES DODGERS,"Age: 24 Ht: 6-1 Wt: 220 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 26/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 86 Rushing bounced back from a concussion he suffered in 2023 that impacted his performance, putting together a superb 2024 season that has him banging on the door of Chavez Ravine, hitting .271/.385/.512 between Double A and Triple A with solid defense and improved performance against velocity. Rushing has shown excellent zone awareness since his debut, with a chase rate of just 21 percent across both levels last year, and his hard-hit rate in Triple A was 44 percent, comparable to Alec Bohm and Kyle Tucker in the big leagues. He can overstride a little and get off balance, especially given how hard he swings, but when itʼs all synced up his swing is geared to produce hard contact in that ideal zone of angles off the bat for power. Heʼs a solid receiver who threw out 30 percent of runners last year, and might be underrated as a defender because heʼs such a good hitter (something baseball fans who were online in the 1990s might know as Nicholsʼ Law of Catcher Defense — a catcher's defensive reputation is inversely proportional to their offensive abilities). The Dodgers just gave Will Smith a mammoth contract, but heʼs also been banged up quite a bit the last two years, so Rushingʼs imminent arrival in the majors might be right on time. If heʼs even a .340 OBP, 20-homer guy, which seems reasonable given his production and underlying data from 2024, that would make him one of the most valuable catchers in baseball. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 27/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:AP Images MLB Teams • • • • • • LOS ANGELES DODGERS C"
17,17,Ethan,Salas,C,SAN DIEGO PADRES,"Age: 19 Ht: 6-0 Wt: 185 Bats: L Throws: R 2024 Ranking: 3 Salas was one of two 18-year-olds to start 2024 above Low A, along with Walcott. Salasʼ season was very good in context, but didnʼt quite live up to the hype or the scouting reports coming into the year. He hit .208/.288/.311 for High-A Fort Wayne, with just a 21 percent strikeout rate; his .256 BABIP does point to some bad luck, but his contact quality went backwards as well, and the easy power he showed in 2023 — or can show in BP — was absent in games most of the regular https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 28/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic season. He was better in the Arizona Fall League, hitting as many homers there (4) in 23 games MLB Teams • • • • • • as he did in 111 games for Fort Wayne, which plays in a bad hitters' park. Heʼs still a plus defender and earns praise for his work with pitchers and coaches, giving him a very high ﬂoor as a catcher who has shown great contact skills and at least shown plus power in BP. He wonʼt turn 19 until June 1, so he has a ton of time to bring all of this together. However, at the very least thereʼs a lot more skepticism about his probability to become a star among other scouts and execs than there was a year ago. Photo:Getty Images SAN DIEGO PADRES C"
18,18,Coby,Mayo,3B,BALTIMORE ORIOLES,"Age: 23 Ht: 6-5 Wt: 230 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 29/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 27 The Orioles went under-slot with their top pick in the abbreviated 2020 draft so they could go over slot for two players in the fourth and ﬁfth rounds, and Mayo, the fourth-rounder, has more than justiﬁed their approach, as heʼs already reached the majors at age 22 after hitting well at every stop in the minors. Mayo spent most of 2024 in Triple A, hitting .287/.364/.562 there with 22 homers in just 89 games around an IL stint (he broke a rib trying to catch a foul ball). His batted- ball data from that level was just as impressive — his exit velocity topped out at 114.9 mph, his 90th percentile EV was 107.2 mph, and his hard-hit rate was 41 percent, all of which would be above the major-league medians for those ﬁgures. His Barrel rate was over 12 percent, which would have ranked in the top 50 had he done it in the big leagues. He's 6-5 and does have long levers so his swing can get big, some of which is the natural tradeoff for the kind of power he displays, but may also point to a longer adjustment period in the majors as pitchers exploit that length. He hasnʼt swung and missed excessively in the minors, however, and he has made small adjustments to his approach and his mechanics as heʼs moved up, so thereʼs every reason to think heʼll do so in the majors. Heʼs played third and ﬁrst in pro ball and has made himself into a capable defender at the hot corner, but ﬁrst base will always be the easiest option — or possibly right ﬁeld, as he has plenty of arm and moves well enough for a corner outﬁeld spot. His bat looks like itʼll play anywhere, with 30-35 homer upside and a good enough plan at the plate to eventually get to league-average or better OBPs. Photo:Getty Images BALTIMORE ORIOLES 3B"
19,19,Bubba,Chandler,RHP,PITTSBURGH PIRATES,"Age: 22 Ht: 6-2 Wt: 200 Bats: S Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 30/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 48 Chandler was part of the Piratesʼ 2021 draft class, where they took Henry Davis with the ﬁrst pick and went well under slot so they could sign several other ﬁrst-round talents to over-slot deals — with Chandler by far the best of the group to date. The former quarterback-shortstop-pitcher is now exclusively on the mound, and 2024 was a big step forward for him, as he moved through Double A to Triple A and cut his walk rate from 10.9 percent in 2023 to 8.6 percent across all of last year. Chandler has one of the best four-seamers in the minors, 94-99 with exceptional shape and life, giving it the illusion of rise, and hitters just canʼt do anything with it: Triple-A batters whiffed on it 27 percent of the time they swung, and when they did hit it they were more likely to go the other way because they couldnʼt pull it. Heʼs mostly fastball-slider-changeup now, barely using the curveball, so he can focus on improving just one breaking ball. Itʼll probably always be his third-best pitch, but it was effective against righties last year, and his changeup is still a plus pitch for him that he can use against both sides. The Pirates let him work a little deeper into games in 2024 and he showed no loss of stuff, while this was the second year in a row that he pitched a full season, so he should be ready to step into the big-league rotation by midyear. He only became a full-time pitcher in 2023, so he may still have more growth ahead of him on the mound than the typical 22-year-old, and heʼs every bit the athlete youʼd expect from someone who was committed to Clemson for two sports. Even if the slider is never more than a fringe- https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 31/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic average pitch, he looks like heʼll at least be a No. 2 starter with the two elite weapons and the MLB Teams • • • • • • potential for above-average command as he matures. Photo:AP Images PITTSBURGH PIRATES RHP"
20,20,Noah,Schultz,LHP,CHICAGO WHITE SOX,"Age: 21 Ht: 6-9 Wt: 220 Bats: L Throws: L 2024 Ranking: 79 Schultz has gone from barely pitching as a senior at Oswego East High School outside Chicago as he was dealing with mono to becoming the best left-handed pitching prospect in baseball just two https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 32/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic years later. Heʼd made only 16 appearances in the minors coming into 2024, having missed time MLB Teams • • • • • • the year before, but spent most of his season in Double A as a 20-year-old and dominated, striking out 32 percent of batters he faced and posting a 1.48 ERA. Heʼs 6-9 and really uses the height to his advantage, coming at hitters from a low slot with good extension so that hitters make weak contact on his fastball even though it doesnʼt miss many bats. Heʼll sit 93-96 as a starter, with high spin rates but not a ton of life to it, a plus-plus slider as his out pitch, along with a high- spin curveball and perhaps too-ﬁrm changeup, although so far heʼs had no issues with platoon splits. Heʼs going to earn comparisons to Chris Sale as another lanky low-slot lefty, but heʼs a different animal; he might never miss bats at the same rate, but will generate a lot of weak contact and keep the ball in the park instead. As long as he stays healthy — and thatʼs not guaranteed, as the history of 6-9 or taller pitchers is pretty grim — heʼs going to have a long run of giving hitters nightmares as a top-end starter. Photo:AP Images CHICAGO WHITE SOX LHP"
21,21,Emmanuel,Rodriguez,OF,MINNESOTA TWINS,"Age: 22 Ht: 5-11 Wt: 210 Bats: L Throws: L https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 33/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 47 Rodriguez had a typical year for himself — he walked and struck out a lot, made very hard contact, and got hurt. In 47 games total across four levels, he hit .280/.459/.567 with a 24.4 percent walk rate and 29.7 percent strikeout rate, hitting nine homers in that span, or roughly a 31-homer pace. He injured his right thumb while stealing a base in April, tried to come back and play through it, but reinjured it in September and ended up having a “cleanup procedure” on it after the season. He makes extremely hard contact when heʼs healthy, though. Even in his brief time in Triple A, he put 13 balls in play, peaking at 114.6 mph and averaging 90.1. And his knowledge of the strike zone is real; he even brought his chase rate down from about 14 percent last year to 11 percent this year and just 8 percent in his brief time in Triple A. Rodriguez calmed down his leg kick a little bit last year, although it doesnʼt seem to have made much difference in his results, and he still probably needs to swing more often at pitches in the zone. If he stays in centerﬁeld, with this power and patience he could be a better Mike Cameron (46.7 career WAR, so donʼt scoff). Itʼs more likely Rodriguez ends up in right ﬁeld, where his unusual proﬁle as a hitter will still make him an above-average regular, and thereʼs the potential for more if he gets a little more aggressive at the plate — and can stay on the ﬁeld for a full season. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 34/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:AP Images MLB Teams • • • • • • MINNESOTA TWINS OF"
22,22,Jasson,Domínguez,OF,NEW YORK YANKEES,"Age: 22 Ht: 5-9 Wt: 190 Bats: S Throws: R 2024 Ranking: 21 Domínguez may never quite be the Mickey Mantle-esque star that the earliest hype around him indicated, but heʼs going to be a very good player — more so if the Yankees just leave him in center ﬁeld and let him hit. Signed for a $5 million bonus as a 16-year-old in 2019, Domínguez was very physically mature for his age then, and showed plus power early on in his career as a result. Heʼs also a 70 runner and has 30/30 upside if he hits enough to get to it, and so far, he has https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 35/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic hit for contact and average up through Triple A, hitting .287/.363/.465 there last year in his MLB Teams • • • • • • return from 2023 Tommy John surgery. Heʼs a switch-hitter with really good swings from both sides of the plate, but has always been better from the left side and has struck out 29.3 percent of the time when batting right-handed over the last two years, one thing that bears watching as he moves to the majors. Heʼs a natural center ﬁelder and a good one, with range from that plus speed along with solid instincts to read balls off the bat. Thereʼs some hit tool risk, especially against southpaws, and he doesnʼt have the same room for physical projection that most prospects his age still do. I see enough present strength and power — his EV50 in Triple A was 101.6 mph, which would have ranked fourth on the Yankees last year — to project him as a 25- 30 homer guy as is, and with the speed and defense that still makes him a well above-average regular and occasional All-Star. Photo:Getty Images NEW YORK YANKEES OF"
23,23,Kevin,McGonigle,2B,DETROIT TIGERS,"Age: 20 Ht: 5-10 Wt: 187 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 36/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked McGonigle was the Tigersʼ second pick in 2023, but took home a ﬁrst-round bonus to buy him away from a scholarship to Auburn, and his pro debut made that look like a screaming bargain for Detroit. (It helps that the current draft bonus system wildly undervalues the best players.) His 2024 was bookended by injuries, but after recovering from a hamstring strain, he hit .326/.407/.470 in his 60-game stint in Low A, then got off to a solid start in High A before he broke the hamate bone in his right hand, ending his season. The middle inﬁelder from a small private school outside of Philadelphia has a very clean, simple swing with good hip rotation to drive the ball to the gaps, and the excellent ball-strike recognition he showed as an amateur has certainly carried over — he walked more than he struck out at Low A and at High A, with 11 walks and just four strikeouts in 14 games at the latter stop. Heʼs played short and second in pro ball but doesnʼt have the range or quickness for shortstop, proﬁling much better at second and perhaps ending up a 55 defender there. If thereʼs a knock on his game, itʼs that heʼs not as projectable physically as most of the guys ahead of him on this list; he makes plenty of hard contact now, but thereʼs not much room on his 5-10-ish frame to get stronger, so any further power gains (he had ﬁve homers in 74 games, although the Florida State League is bad for power hitters) will have to come from swing tweaks. Heʼs probably going to have a very long career as an above-average regular who ranks among the league leaders in OBP with just average or fringy power and solid https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 37/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic defense at second … and, if he hits what Iʼd arbitrarily call a 95th percentile outcome, retire with MLB Teams • • • • • • 2,500 hits. Photo:Imagn Images DETROIT TIGERS 2B"
